complaint_id,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company,state,product_category
10001406,2023-01-25,Chase Savings,,Unauthorized access,Security breach,"I opened a Chase Savings with Goldman Sachs because they advertised a 10.7% APY. After three months, the rate was quietly dropped to 5.3% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $50 into this account specifically for the higher rate.",Goldman Sachs,LA,Savings Account
10000568,2023-01-04,Citi Double Cash,,High interest rate,Rate increased without notice,I noticed a charge of $1000 on my Citi Double Cash statement from 2023-09-16. I did not authorize this transaction and have been trying to resolve it with Discover for 5 weeks. They keep transferring me between departments and no one takes responsibility. I have provided documentation proving I was not at the merchant location. This is extremely frustrating and I need this resolved immediately.,Discover,CA,Credit Card
10001829,2024-01-20,Ally Savings,,Unauthorized access,,,Goldman Sachs,MI,Savings Account
10001600,2024-11-15,Synchrony Savings,,Poor customer service,Long wait times,"I opened a Synchrony Savings with Discover because they advertised a 15.3% APY. After three months, the rate was quietly dropped to 5.3% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $250 into this account specifically for the higher rate.",Discover,CA,Savings Account
10001809,2025-08-25,Discover Savings,,Poor customer service,Long wait times,"I opened a Discover Savings with Discover because they advertised a 22.4% APY. After three months, the rate was quietly dropped to 5.7% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $2000 into this account specifically for the higher rate.",Discover,CT,Savings Account
10001552,2024-12-18,Marcus Savings,,Account frozen,Frozen without warning,"Ally Bank charged me a $75 monthly maintenance fee on my Marcus Savings that was supposed to be free. When I called to dispute, they said I did not maintain the minimum balance of $500, even though my statements show I was always above that threshold. I want all fees refunded and a guarantee this will not happen again.",Ally Bank,FL,Savings Account
10001802,2023-11-15,Discover Savings,,Low interest rate,Rate lower than advertised,"I have been trying to reach Ally Bank's customer service about an issue with my Discover Savings for 7 weeks. Wait times exceed 73 minutes, and I have been disconnected 4 times after waiting. When I finally got through, the representative could not resolve my issue and told me to call back. This level of service is completely unacceptable for a bank holding my savings.",Ally Bank,CO,Savings Account
10001562,2025-06-19,Ally Savings,,Unauthorized access,Security breach,"I opened a Ally Savings with Discover because they advertised a 17.9% APY. After three months, the rate was quietly dropped to 9.7% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $2000 into this account specifically for the higher rate.",Discover,IL,Savings Account
10000301,2024-10-24,Amex Gold,,Account closure,Closed without explanation,I noticed a charge of $250 on my Amex Gold statement from 2025-08-04. I did not authorize this transaction and have been trying to resolve it with Discover for 6 weeks. They keep transferring me between departments and no one takes responsibility. I have provided documentation proving I was not at the merchant location. This is extremely frustrating and I need this resolved immediately.,Discover,NC,Credit Card
10001051,2025-12-06,SoFi Personal Loan,,Hidden fees,Fees not disclosed at signing,"I have been making regular payments on my SoFi Personal Loan from SoFi for 1 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $50 late fee and reported a missed payment to the credit bureaus, dropping my score by 64 points. I need this corrected immediately.",SoFi,TN,Personal Loan
10001893,2023-04-08,Venmo,,Failed transfer,Money not received,"I initiated an international transfer of $1000 through PayPal's Venmo service. The estimated delivery was 2 days, but after 6 weeks the money has still not arrived. Each time I call, they say it is 'being processed.' Meanwhile, the exchange rate has changed significantly, costing me an additional $50 in value.",PayPal,CA,Money Transfer
10001056,2023-04-03,LendingClub Loan,,Loan denial,Unclear denial reasons,"I applied for a LendingClub Loan with Prosper and was denied despite having a credit score of 786 and a stable income of $55000 per year. The denial letter was vague, citing 'insufficient credit history.' I have 7 years of credit history with no delinquencies. I believe this decision was made unfairly and request a proper review.",Prosper,MA,Personal Loan
10000889,2024-01-27,SoFi Personal Loan,,Repayment difficulty,Cannot afford payments,"I tried to make an extra payment on my SoFi Personal Loan from Upstart to pay down the principal faster. Their system automatically applied it to future payments instead of the principal balance. After calling 7 times, each representative gave me different instructions. I am paying more interest than necessary because they will not properly apply my payments.",Upstart,IL,Personal Loan
10000316,2023-11-14,Capital One Venture,,Billing dispute,Charges not recognized,"The rewards program on my Capital One Venture card was changed without notice. American Express devalued the points by nearly 59%, making the annual fee of $250 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",American Express,IL,Credit Card
10001778,2023-01-21,Discover Savings,,Account frozen,Frozen without warning,"Chase closed my Discover Savings account without warning, citing 'business reasons.' I had $100 in the account and it took 4 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 12 years with no suspicious activity on the account.",Chase,WI,Savings Account
10000454,2024-05-09,Capital One Venture,,Unauthorized charge,Card not in possession,"Someone made 4 fraudulent purchases on my Capital One Venture card totaling $12000. I reported this to Chase immediately and they opened an investigation. After 1 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",Chase,FL,Credit Card
10000602,2023-10-12,Capital One Venture,,Rewards not credited,Sign-up bonus not received,"I applied for the Capital One Venture card specifically for the 80000 point sign-up bonus. I met all the spending requirements within the specified timeframe, but American Express has refused to credit my bonus points. I have called 3 times over the past 1 months and each representative tells me something different. I have all receipts and statements showing I qualified.",American Express,CA,Credit Card
10000176,2024-12-21,Citi Double Cash,,High interest rate,Rate increased without notice,"I applied for the Citi Double Cash card specifically for the 80000 point sign-up bonus. I met all the spending requirements within the specified timeframe, but Capital One has refused to credit my bonus points. I have called 9 times over the past 4 months and each representative tells me something different. I have all receipts and statements showing I qualified.",Capital One,UT,Credit Card
10001302,2023-12-05,Chase Savings,,Account frozen,Frozen without warning,"I have been trying to reach Chase's customer service about an issue with my Chase Savings for 2 weeks. Wait times exceed 58 minutes, and I have been disconnected 6 times after waiting. When I finally got through, the representative could not resolve my issue and told me to call back. This level of service is completely unacceptable for a bank holding my savings.",Chase,TX,Savings Account
10001095,2024-02-05,Prosper Loan,,High interest rate,Rate increased without notice,"I have been making regular payments on my Prosper Loan from Prosper for 4 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $45 late fee and reported a missed payment to the credit bureaus, dropping my score by 12 points. I need this corrected immediately.",Prosper,KY,Personal Loan
10000038,2024-07-22,Chase Sapphire,,Billing dispute,Charges not recognized,I noticed a charge of $500 on my Chase Sapphire statement from 2023-10-11. I did not authorize this transaction and have been trying to resolve it with American Express for 1 weeks. They keep transferring me between departments and no one takes responsibility. I have provided documentation proving I was not at the merchant location. This is extremely frustrating and I need this resolved immediately.,American Express,NY,Credit Card
10000124,2024-11-26,Capital One Venture,,Billing dispute,Charges not recognized,"I applied for the Capital One Venture card specifically for the 100000 point sign-up bonus. I met all the spending requirements within the specified timeframe, but Chase has refused to credit my bonus points. I have called 3 times over the past 4 months and each representative tells me something different. I have all receipts and statements showing I qualified.",Chase,PA,Credit Card
10002000,2023-06-08,Western Union,,Delayed transfer,Transfer taking too long,"My account was frozen by Western Union after I made a Western Union transfer of $50. They claimed the transaction was flagged for suspicious activity, but I was simply sending money to my family overseas, which I do every month. It took 1 weeks to get my account unfrozen, and I had to provide extensive documentation including pay stubs and tax returns.",Western Union,NC,Money Transfer
10000395,2024-07-06,Chase Sapphire,,Rewards not credited,Sign-up bonus not received,"I have been a loyal Chase Sapphire cardholder with American Express for over 11 years. Recently, I noticed my interest rate was increased from 4.0% to 17.6% without adequate explanation. I have excellent payment history and no late payments. Other companies are offering much lower rates. I am considering closing this account if the rate is not adjusted.",American Express,PA,Credit Card
10001062,2025-04-02,Prosper Loan,,Loan denial,Unclear denial reasons,"The total cost of my Prosper Loan from LendingClub ended up being $12000, which is nearly 3.0 times the original loan amount of $2000. The interest rate of 15.1% combined with various processing fees and insurance charges that were added without my clear consent have made this loan predatory in my opinion.",LendingClub,MA,Personal Loan
10000914,2024-09-20,Prosper Loan,,Debt collection harassment,Excessive calls,"I have been making regular payments on my Prosper Loan from Upstart for 1 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $25 late fee and reported a missed payment to the credit bureaus, dropping my score by 14 points. I need this corrected immediately.",Upstart,LA,Personal Loan
10000040,2023-06-28,Amex Gold,,Billing dispute,Charges not recognized,"I applied for the Amex Gold card specifically for the 75000 point sign-up bonus. I met all the spending requirements within the specified timeframe, but Capital One has refused to credit my bonus points. I have called 7 times over the past 6 months and each representative tells me something different. I have all receipts and statements showing I qualified.",Capital One,MO,Credit Card
10000463,2023-12-20,Chase Sapphire,,Rewards not credited,Sign-up bonus not received,"Someone made 4 fraudulent purchases on my Chase Sapphire card totaling $8000. I reported this to American Express immediately and they opened an investigation. After 7 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",American Express,MA,Credit Card
10000768,2025-12-06,Capital One Venture,,High interest rate,Rate increased without notice,"I applied for the Capital One Venture card specifically for the 60000 point sign-up bonus. I met all the spending requirements within the specified timeframe, but Capital One has refused to credit my bonus points. I have called 4 times over the past 2 months and each representative tells me something different. I have all receipts and statements showing I qualified.",Capital One,GA,Credit Card
10001454,2025-10-01,Ally Savings,,Account frozen,Frozen without warning,I tried to withdraw $1500 from my Ally Savings at Goldman Sachs and was told my account was frozen pending a security review. No one informed me of any issues beforehand. I had bills due and no access to my own money for 3 weeks. The customer service was unhelpful and could not tell me when the review would be completed.,Goldman Sachs,OK,Savings Account
10000332,2023-11-19,Citi Double Cash,,Credit limit reduction,Reduced without notice,"The rewards program on my Citi Double Cash card was changed without notice. Discover devalued the points by nearly 60%, making the annual fee of $395 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Discover,KY,Credit Card
10001491,2023-04-08,Synchrony Savings,,Withdrawal limit,Cannot access funds,"I have been trying to reach Goldman Sachs's customer service about an issue with my Synchrony Savings for 1 weeks. Wait times exceed 38 minutes, and I have been disconnected 7 times after waiting. When I finally got through, the representative could not resolve my issue and told me to call back. This level of service is completely unacceptable for a bank holding my savings.",Goldman Sachs,OR,Savings Account
10000195,2023-01-14,Chase Sapphire,,Credit limit reduction,Reduced without notice,"Citibank charged me a $45 late fee on my Chase Sapphire card even though I made my payment on time. My bank records show the payment was initiated 5 days before the due date. When I called to dispute, they said the payment was received one day late due to processing time. This is unacceptable — I should not be penalized for their slow processing system.",Citibank,NY,Credit Card
10002173,2025-01-04,PayPal,,High fees,Hidden exchange fees,I sent $1000 via PayPal through PayPal to pay my landlord. The money was deducted from my account but never received by the recipient. It has been 1 weeks and PayPal has not been able to locate the funds or provide a refund. I am now at risk of eviction because my rent appears unpaid.,PayPal,NJ,Money Transfer
10002198,2024-09-04,Wire Transfer,,Failed transfer,Money not received,PayPal charged me a $100 fee for a Wire Transfer transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 39% worse than the market rate. This is deceptive and the total hidden cost was $150.,PayPal,WI,Money Transfer
10000635,2023-02-06,Capital One Venture,,Credit limit reduction,Reduced without notice,I noticed a charge of $150 on my Capital One Venture statement from 2023-05-06. I did not authorize this transaction and have been trying to resolve it with Chase for 7 weeks. They keep transferring me between departments and no one takes responsibility. I have provided documentation proving I was not at the merchant location. This is extremely frustrating and I need this resolved immediately.,Chase,AZ,Credit Card
10000323,2024-08-26,Citi Double Cash,,Account closure,Closed without explanation,"Someone made 6 fraudulent purchases on my Citi Double Cash card totaling $25000. I reported this to American Express immediately and they opened an investigation. After 2 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",American Express,IL,Credit Card
10001808,2025-07-04,Synchrony Savings,,Account frozen,Frozen without warning,"Discover closed my Synchrony Savings account without warning, citing 'business reasons.' I had $2500 in the account and it took 5 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 13 years with no suspicious activity on the account.",Discover,SC,Savings Account
10000267,2023-04-07,Chase Sapphire,,High interest rate,Rate increased without notice,"Capital One charged me a $50 late fee on my Chase Sapphire card even though I made my payment on time. My bank records show the payment was initiated 5 days before the due date. When I called to dispute, they said the payment was received one day late due to processing time. This is unacceptable — I should not be penalized for their slow processing system.",Capital One,MI,Credit Card
10001024,2025-09-04,LendingClub Loan,,High interest rate,Rate increased without notice,"I have been making regular payments on my LendingClub Loan from Upstart for 1 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $29 late fee and reported a missed payment to the credit bureaus, dropping my score by 63 points. I need this corrected immediately.",Upstart,AZ,Personal Loan
10001870,2024-09-10,Discover Savings,,Account fees,,,Goldman Sachs,MA,Savings Account
10000580,2024-11-25,Discover It,,Credit limit reduction,Reduced without notice,I noticed a charge of $5000 on my Discover It statement from 2023-05-18. I did not authorize this transaction and have been trying to resolve it with Discover for 7 weeks. They keep transferring me between departments and no one takes responsibility. I have provided documentation proving I was not at the merchant location. This is extremely frustrating and I need this resolved immediately.,Discover,WI,Credit Card
10001291,2023-12-21,Discover Savings,,Unauthorized access,Security breach,"Ally Bank closed my Discover Savings account without warning, citing 'business reasons.' I had $1500 in the account and it took 8 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 6 years with no suspicious activity on the account.",Ally Bank,GA,Savings Account
10001880,2023-02-24,Wire Transfer,,Fraud/scam,Scam transaction,PayPal charged me a $100 fee for a Wire Transfer transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 59% worse than the market rate. This is deceptive and the total hidden cost was $25.,PayPal,CA,Money Transfer
10001934,2023-03-07,Zelle,,High fees,Hidden exchange fees,I accidentally sent $1000 to the wrong person through Zelle via Zelle. I realized the error within 70 minutes and immediately contacted them to cancel. They said the transaction was already completed and they cannot reverse it. They suggested I 'ask the recipient nicely' to send it back. This is an unacceptable response for such a large amount.,Zelle,GA,Money Transfer
10001037,2024-11-21,SoFi Personal Loan,,Hidden fees,Fees not disclosed at signing,"I tried to make an extra payment on my SoFi Personal Loan from Prosper to pay down the principal faster. Their system automatically applied it to future payments instead of the principal balance. After calling 10 times, each representative gave me different instructions. I am paying more interest than necessary because they will not properly apply my payments.",Prosper,MD,Personal Loan
10001845,2025-03-08,Discover Savings,,Account frozen,,,Synchrony,NY,Savings Account
10000818,2023-06-13,Chase Sapphire,,Unauthorized charge,,,American Express,WA,Credit Card
10000924,2025-01-23,Prosper Loan,,Repayment difficulty,Cannot afford payments,"The total cost of my Prosper Loan from Prosper ended up being $5000, which is nearly 2.2 times the original loan amount of $3000. The interest rate of 21.0% combined with various processing fees and insurance charges that were added without my clear consent have made this loan predatory in my opinion.",Prosper,MA,Personal Loan
10001710,2023-09-10,Ally Savings,,Withdrawal limit,Cannot access funds,"My Ally Savings with Ally Bank was accessed by someone who changed my contact information and attempted to transfer $250 out of my account. When I reported this, Ally Bank took 6 weeks to investigate and temporarily restricted my access. I am concerned about the security of their online banking platform and how this person gained access.",Ally Bank,VA,Savings Account
10001339,2023-01-03,Chase Savings,,Withdrawal limit,Cannot access funds,"I opened a Chase Savings with Ally Bank because they advertised a 24.7% APY. After three months, the rate was quietly dropped to 8.4% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $200 into this account specifically for the higher rate.",Ally Bank,UT,Savings Account
10001299,2023-02-27,Discover Savings,,Withdrawal limit,Cannot access funds,"I have been trying to reach Discover's customer service about an issue with my Discover Savings for 4 weeks. Wait times exceed 30 minutes, and I have been disconnected 2 times after waiting. When I finally got through, the representative could not resolve my issue and told me to call back. This level of service is completely unacceptable for a bank holding my savings.",Discover,OH,Savings Account
10002230,2025-03-26,Wire Transfer,,Wrong recipient,Sent to wrong person,I sent $2000 via Wire Transfer through Venmo to pay my landlord. The money was deducted from my account but never received by the recipient. It has been 6 weeks and Venmo has not been able to locate the funds or provide a refund. I am now at risk of eviction because my rent appears unpaid.,Venmo,LA,Money Transfer
10002092,2024-05-10,Venmo,,Account frozen,Frozen without warning,Bank of America charged me a $50 fee for a Venmo transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 36% worse than the market rate. This is deceptive and the total hidden cost was $150.,Bank of America,GA,Money Transfer
10000573,2024-11-27,Capital One Venture,,Unauthorized charge,Card not in possession,"Someone made 6 fraudulent purchases on my Capital One Venture card totaling $8000. I reported this to Chase immediately and they opened an investigation. After 5 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",Chase,WI,Credit Card
10001015,2025-12-27,Marcus Loan,,High interest rate,Rate increased without notice,"I have been making regular payments on my Marcus Loan from Goldman Sachs for 6 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $75 late fee and reported a missed payment to the credit bureaus, dropping my score by 70 points. I need this corrected immediately.",Goldman Sachs,IL,Personal Loan
10001996,2023-09-27,Venmo,,High fees,Hidden exchange fees,I accidentally sent $2500 to the wrong person through Venmo via Zelle. I realized the error within 89 minutes and immediately contacted them to cancel. They said the transaction was already completed and they cannot reverse it. They suggested I 'ask the recipient nicely' to send it back. This is an unacceptable response for such a large amount.,Zelle,AL,Money Transfer
10002095,2024-09-11,PayPal,,Fraud/scam,Scam transaction,"I initiated an international transfer of $1500 through Venmo's PayPal service. The estimated delivery was 7 days, but after 7 weeks the money has still not arrived. Each time I call, they say it is 'being processed.' Meanwhile, the exchange rate has changed significantly, costing me an additional $200 in value.",Venmo,WI,Money Transfer
10001048,2023-04-11,SoFi Personal Loan,,Loan denial,Unclear denial reasons,"Prosper sold my SoFi Personal Loan loan to a third-party debt collector without notifying me. The collector is now adding additional fees and interest that were not part of my original agreement. They call me 4 times per day, including on weekends, and have been rude and threatening. This is harassment and a violation of fair debt collection practices.",Prosper,IN,Personal Loan
10001190,2023-06-05,LendingClub Loan,,Payment processing error,,,Goldman Sachs,NC,Personal Loan
10001746,2024-04-06,Discover Savings,,Withdrawal limit,Cannot access funds,"Chase charged me a $39 monthly maintenance fee on my Discover Savings that was supposed to be free. When I called to dispute, they said I did not maintain the minimum balance of $500, even though my statements show I was always above that threshold. I want all fees refunded and a guarantee this will not happen again.",Chase,GA,Savings Account
10001059,2025-08-19,LendingClub Loan,,Debt collection harassment,Excessive calls,"I have been making regular payments on my LendingClub Loan from Upstart for 5 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $29 late fee and reported a missed payment to the credit bureaus, dropping my score by 65 points. I need this corrected immediately.",Upstart,CT,Personal Loan
10000054,2023-10-22,Capital One Venture,,Late fee,Payment made on time,"Someone made 6 fraudulent purchases on my Capital One Venture card totaling $5000. I reported this to Chase immediately and they opened an investigation. After 6 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",Chase,KY,Credit Card
10001229,2023-08-10,Ally Savings,,Unauthorized access,Security breach,I tried to withdraw $2000 from my Ally Savings at Synchrony and was told my account was frozen pending a security review. No one informed me of any issues beforehand. I had bills due and no access to my own money for 5 weeks. The customer service was unhelpful and could not tell me when the review would be completed.,Synchrony,CT,Savings Account
10002228,2024-09-27,Zelle,,Account frozen,Frozen without warning,"I initiated an international transfer of $250 through Zelle's Zelle service. The estimated delivery was 1 days, but after 8 weeks the money has still not arrived. Each time I call, they say it is 'being processed.' Meanwhile, the exchange rate has changed significantly, costing me an additional $150 in value.",Zelle,UT,Money Transfer
10000506,2025-10-09,Citi Double Cash,,Late fee,Payment made on time,"My Citi Double Cash card from Citibank suddenly had its credit limit reduced from $5000 to $1500 without any prior notification. I have never missed a payment and my credit score is above 750. When I called to ask why, the representative could not give me a clear answer. This reduction has negatively affected my credit utilization ratio and dropped my score by 79 points.",Citibank,KY,Credit Card
10000753,2024-08-07,Capital One Venture,,Rewards not credited,Sign-up bonus not received,"Chase charged me a $45 late fee on my Capital One Venture card even though I made my payment on time. My bank records show the payment was initiated 6 days before the due date. When I called to dispute, they said the payment was received one day late due to processing time. This is unacceptable — I should not be penalized for their slow processing system.",Chase,CO,Credit Card
10001197,2025-08-10,Prosper Loan,,Repayment difficulty,,,SoFi,MI,Personal Loan
10000793,2025-03-18,Capital One Venture,,Unauthorized charge,Card not in possession,I noticed a charge of $50 on my Capital One Venture statement from 2023-03-03. I did not authorize this transaction and have been trying to resolve it with Chase for 2 weeks. They keep transferring me between departments and no one takes responsibility. I have provided documentation proving I was not at the merchant location. This is extremely frustrating and I need this resolved immediately.,Chase,WA,Credit Card
10002081,2023-06-20,Zelle,,Fraud/scam,Scam transaction,I accidentally sent $2000 to the wrong person through Zelle via PayPal. I realized the error within 84 minutes and immediately contacted them to cancel. They said the transaction was already completed and they cannot reverse it. They suggested I 'ask the recipient nicely' to send it back. This is an unacceptable response for such a large amount.,PayPal,MN,Money Transfer
10000932,2024-11-10,Marcus Loan,,Hidden fees,Fees not disclosed at signing,"I have been making regular payments on my Marcus Loan from SoFi for 6 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $35 late fee and reported a missed payment to the credit bureaus, dropping my score by 29 points. I need this corrected immediately.",SoFi,VA,Personal Loan
10000366,2023-06-02,Citi Double Cash,,Account closure,Closed without explanation,I noticed a charge of $50 on my Citi Double Cash statement from 2025-04-12. I did not authorize this transaction and have been trying to resolve it with Discover for 2 weeks. They keep transferring me between departments and no one takes responsibility. I have provided documentation proving I was not at the merchant location. This is extremely frustrating and I need this resolved immediately.,Discover,MI,Credit Card
10001057,2025-06-19,Marcus Loan,,High interest rate,Rate increased without notice,"I applied for a Marcus Loan with Goldman Sachs and was denied despite having a credit score of 768 and a stable income of $65000 per year. The denial letter was vague, citing 'insufficient credit history.' I have 3 years of credit history with no delinquencies. I believe this decision was made unfairly and request a proper review.",Goldman Sachs,AZ,Personal Loan
10001338,2025-09-14,Marcus Savings,,Withdrawal limit,Cannot access funds,"My Marcus Savings with Discover was accessed by someone who changed my contact information and attempted to transfer $200 out of my account. When I reported this, Discover took 8 weeks to investigate and temporarily restricted my access. I am concerned about the security of their online banking platform and how this person gained access.",Discover,MO,Savings Account
10000987,2025-11-04,Upstart Loan,,High interest rate,Rate increased without notice,"I applied for a Upstart Loan with Prosper and was denied despite having a credit score of 726 and a stable income of $85000 per year. The denial letter was vague, citing 'insufficient credit history.' I have 4 years of credit history with no delinquencies. I believe this decision was made unfairly and request a proper review.",Prosper,LA,Personal Loan
10001162,2023-01-21,Marcus Loan,,Repayment difficulty,Cannot afford payments,"The total cost of my Marcus Loan from SoFi ended up being $15000, which is nearly 1.5 times the original loan amount of $2000. The interest rate of 8.8% combined with various processing fees and insurance charges that were added without my clear consent have made this loan predatory in my opinion.",SoFi,KY,Personal Loan
10002134,2024-01-11,Wire Transfer,,Fraud/scam,Scam transaction,"I was contacted by someone claiming to be from my bank's fraud department. They convinced me to send $5000 via Wire Transfer to 'secure' my account. I later realized this was a scam and immediately contacted Zelle. They refused to reverse the transaction, saying Wire Transfer transfers are final. I believe Zelle should have better fraud protection mechanisms.",Zelle,OK,Money Transfer
10000584,2023-05-17,Chase Sapphire,,Billing dispute,Charges not recognized,"Citibank charged me a $39 late fee on my Chase Sapphire card even though I made my payment on time. My bank records show the payment was initiated 7 days before the due date. When I called to dispute, they said the payment was received one day late due to processing time. This is unacceptable — I should not be penalized for their slow processing system.",Citibank,MD,Credit Card
10001583,2025-07-27,Chase Savings,,Unauthorized access,Security breach,"I have been trying to reach Chase's customer service about an issue with my Chase Savings for 6 weeks. Wait times exceed 73 minutes, and I have been disconnected 10 times after waiting. When I finally got through, the representative could not resolve my issue and told me to call back. This level of service is completely unacceptable for a bank holding my savings.",Chase,IL,Savings Account
10000772,2025-10-07,Capital One Venture,,Credit limit reduction,Reduced without notice,"Someone made 4 fraudulent purchases on my Capital One Venture card totaling $5000. I reported this to Capital One immediately and they opened an investigation. After 7 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",Capital One,NY,Credit Card
10002162,2024-10-08,PayPal,,Delayed transfer,Transfer taking too long,I accidentally sent $3000 to the wrong person through PayPal via Venmo. I realized the error within 43 minutes and immediately contacted them to cancel. They said the transaction was already completed and they cannot reverse it. They suggested I 'ask the recipient nicely' to send it back. This is an unacceptable response for such a large amount.,Venmo,CA,Money Transfer
10000901,2024-11-22,SoFi Personal Loan,,Debt collection harassment,Excessive calls,"I have been making regular payments on my SoFi Personal Loan from SoFi for 2 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $39 late fee and reported a missed payment to the credit bureaus, dropping my score by 79 points. I need this corrected immediately.",SoFi,NC,Personal Loan
10000153,2024-06-18,Amex Gold,,Credit limit reduction,Reduced without notice,"American Express charged me a $50 late fee on my Amex Gold card even though I made my payment on time. My bank records show the payment was initiated 4 days before the due date. When I called to dispute, they said the payment was received one day late due to processing time. This is unacceptable — I should not be penalized for their slow processing system.",American Express,MO,Credit Card
10002278,2025-03-06,PayPal,,High fees,,,Bank of America,NY,Money Transfer
10002109,2024-07-13,Venmo,,Delayed transfer,Transfer taking too long,Western Union charged me a $100 fee for a Venmo transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 22% worse than the market rate. This is deceptive and the total hidden cost was $100.,Western Union,MN,Money Transfer
10000995,2023-02-16,Marcus Loan,,Hidden fees,Fees not disclosed at signing,"I have been making regular payments on my Marcus Loan from LendingClub for 4 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $25 late fee and reported a missed payment to the credit bureaus, dropping my score by 15 points. I need this corrected immediately.",LendingClub,IL,Personal Loan
10001772,2024-04-06,Chase Savings,,Poor customer service,Long wait times,I tried to withdraw $2000 from my Chase Savings at Chase and was told my account was frozen pending a security review. No one informed me of any issues beforehand. I had bills due and no access to my own money for 1 weeks. The customer service was unhelpful and could not tell me when the review would be completed.,Chase,OK,Savings Account
10002013,2025-03-22,Zelle,,Delayed transfer,Transfer taking too long,PayPal charged me a $45 fee for a Zelle transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 33% worse than the market rate. This is deceptive and the total hidden cost was $150.,PayPal,PA,Money Transfer
10000319,2024-03-03,Chase Sapphire,,Unauthorized charge,Card not in possession,"My Chase Sapphire card from Chase suddenly had its credit limit reduced from $8000 to $2500 without any prior notification. I have never missed a payment and my credit score is above 750. When I called to ask why, the representative could not give me a clear answer. This reduction has negatively affected my credit utilization ratio and dropped my score by 38 points.",Chase,GA,Credit Card
10001293,2024-10-01,Ally Savings,,Unauthorized access,Security breach,"I opened a Ally Savings with Ally Bank because they advertised a 10.8% APY. After three months, the rate was quietly dropped to 3.0% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $100 into this account specifically for the higher rate.",Ally Bank,CT,Savings Account
10000916,2025-02-13,LendingClub Loan,,High interest rate,Rate increased without notice,"The total cost of my LendingClub Loan from SoFi ended up being $25000, which is nearly 2.1 times the original loan amount of $50. The interest rate of 23.6% combined with various processing fees and insurance charges that were added without my clear consent have made this loan predatory in my opinion.",SoFi,KY,Personal Loan
10001839,2023-10-10,Discover Savings,,Withdrawal limit,,,Discover,IL,Savings Account
10001714,2025-06-21,Discover Savings,,Withdrawal limit,Cannot access funds,"I opened a Discover Savings with Chase because they advertised a 11.7% APY. After three months, the rate was quietly dropped to 5.4% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $3000 into this account specifically for the higher rate.",Chase,NJ,Savings Account
